Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
LYCEE DU COUSERANS;2017;ST GIRONS;100;89;84;TOULOUSE
LYCEE SAINT-EXUPERY (GENERAL ET TECHNO.);2017;BLAGNAC;84;93;95;TOULOUSE
LYCEE PEYRAMALE SAINT-JOSEPH;2017;LOURDES;100;100;94;TOULOUSE
LYCEE LOUIS VICAT (GENERAL ET TECHNO.);2017;SOUILLAC;;80;80;TOULOUSE
LYCEE FRANCOIS MITTERRAND;2017;MOISSAC;88;91;95;TOULOUSE
LYCEE RENE CASSIN;2017;ARPAJON;93;91;93;VERSAILLES
LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.);2017;BONDOUFLE;85;81;81;VERSAILLES
LYCEE MAURICE ELIOT;2017;EPINAY SOUS SENART;76;67;91;VERSAILLES
LYCEE CAMILLE CLAUDEL;2017;PALAISEAU;86;86;86;VERSAILLES
LYCEE NOTRE-DAME;2017;BOURG LA REINE;100;100;99;VERSAILLES
LYCEE LA SALLE PASSY BUZENVAL;2017;RUEIL MALMAISON;90;100;100;VERSAILLES
LYCEE NOTRE-DAME DE BURY;2017;MARGENCY;100;100;100;VERSAILLES
LYCEE INTERNATIONAL;2017;ST GERMAIN EN LAYE;100;100;100;VERSAILLES
LYCEE NOTRE DAME DU GRANDCHAMP;2017;VERSAILLES;100;99;100;VERSAILLES
LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.);2018;BARCELONNETTE;71;89;95;AIX-MARSEILLE
LYCEE ALEXANDRA DAVID NEEL;2018;DIGNE LES BAINS;92;95;86;AIX-MARSEILLE
LYCEE ST VINCENT DE PAUL (GENERAL ET TECHNO.);2018;MARSEILLE 06;;;;AIX-MARSEILLE
LYCEE MARIE GASQUET (GENERAL ET TECHNO.);2018;MARSEILLE 12;;;;AIX-MARSEILLE
LYCEE SAINT EXUPERY;2018;MARSEILLE 15;76;72;77;AIX-MARSEILLE
LYCEE ANDRE CHAMSON (GENERAL ET TECHNO.);2018;LE VIGAN;96;100;95;MONTPELLIER
LYCEE CHARLES GIDE;2018;UZES;98;95;93;MONTPELLIER
LYCEE FABERT;2018;METZ;87;97;94;NANCY-METZ
LYCEE JEAN XXIII;2018;MONTIGNY LES METZ;95;98;100;NANCY-METZ
LYCEE CHARLEMAGNE;2018;THIONVILLE;87;90;90;NANCY-METZ
LYCEE CHEVROLLIER (GENERAL ET TECHNO.);2018;ANGERS;96;95;94;NANTES
LYCEE HENRI BERGSON;2018;ANGERS;98;95;95;NANTES
LYCEE URBAIN MONGAZON;2018;ANGERS;100;98;97;NANTES
LYCEE NOTRE DAME (GENERAL ET TECHNO.);2018;CHALLANS;100;97;96;NANTES
LYCEE STE MARIE DU PORT (GENERAL ET TECHNO.);2018;LES SABLES D OLONNE;89;94;96;NANTES
LYCEE ALEXIS DE TOCQUEVILLE;2018;GRASSE;88;95;93;NICE
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2018;DREUX;97;90;93;ORLEANS-TOURS
LYCEE GEORGE SAND (GENERAL ET TECHNO.);2018;LA CHATRE;95;63;80;ORLEANS-TOURS
LYCEE LEONARD DE VINCI;2018;AMBOISE;88;91;86;ORLEANS-TOURS
LYCEE STE CROIX ST EUVERTE;2018;ORLEANS;96;100;100;ORLEANS-TOURS
LYCEE VICTOR DURUY;2018;PARIS 07;100;98;99;PARIS
LYCEE NOTRE-DAME DE FRANCE;2018;PARIS 13;100;100;100;PARIS
LYCEE YABNE;2018;PARIS 13;;100;100;PARIS
LYCEE PAUL GUERIN;2018;NIORT;92;90;90;POITIERS
LYCEE GUY CHAUVET;2018;LOUDUN;93;100;97;POITIERS
LYCEE NELSON MANDELA (GENERAL ET TECHNO.);2018;POITIERS;;89;93;POITIERS
LYCEE ST JACQUES DE COMPOSTELLE (GENERAL ET TECHNO.);2018;POITIERS;;;;POITIERS
LYCEE SACRE-COEUR;2018;REIMS;100;100;99;REIMS
LYCEE AUGUSTE PAVIE;2018;GUINGAMP;93;95;92;RENNES
LYCEE DE CORNOUAILLE;2018;QUIMPER;95;90;90;RENNES
LYCEE STE JEANNE D'ARC;2018;GOURIN;;100;83;RENNES
LYCEE VAL DE SEINE;2018;LE GRAND QUEVILLY;93;89;90;ROUEN
ECOLE AQUIBA;2018;STRASBOURG;100;95;98;STRASBOURG
LYCEE LAZARE DE SCHWENDI (GENERAL ET TECHNO.);2018;INGERSHEIM;;;;STRASBOURG
LYCEE JEAN JAURES (GENERAL ET TECHNO.);2018;ST AFFRIQUE;92;85;96;TOULOUSE
LYCEE RAYMOND NAVES (GENERAL ET TECHNO.);2018;TOULOUSE;87;91;92;TOULOUSE
LYCEE RENE BILLERES;2018;ARGELES GAZOST;100;100;97;TOULOUSE
LYCEE HOTELIER QUERCY-PERIGORD;2018;SOUILLAC;;;;TOULOUSE
LYCEE LOUIS VICAT (GENERAL ET TECHNO.);2018;SOUILLAC;;82;78;TOULOUSE
LYCEE SAINTE CELINE;2017;LA FERTE SOUS JOUARRE;100;94;97;CRETEIL
LYCEE HENRI MOISSAN;2017;MEAUX;83;87;91;CRETEIL
LYCEE MERKAZ HATORAH FILLES;2017;LE RAINCY;;100;100;CRETEIL
LYCEE SUGER (GENERAL ET TECHNO.);2017;ST DENIS;61;67;74;CRETEIL
LYCEE MAURICE UTRILLO (GENERAL ET TECHNO.);2017;STAINS;87;82;81;CRETEIL
LYCEE MARX DORMOY (GENERAL ET TECHNO.);2017;CHAMPIGNY SUR MARNE;96;81;80;CRETEIL
LYCEE JOHANNES GUTENBERG (GENERAL ET TECHNO.);2017;CRETEIL;83;85;74;CRETEIL
LYCEE FERNAND LEGER (GENERAL ET TECHNO.);2017;IVRY SUR SEINE;;;;CRETEIL
LYCEE STEPHEN LIEGEARD;2017;BROCHON;100;96;94;DIJON
LYCEE SAINTE CECILE;2017;LA COTE ST ANDRE;100;100;100;GRENOBLE
LYCEE SAINT MARC (GENERAL ET TECHNO.);2017;NIVOLAS VERMELLE;97;96;99;GRENOBLE
LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.);2017;VOIRON;96;96;93;GRENOBLE
LYCEE YVES LEBORGNE;2017;STE ANNE;94;96;95;GUADELOUPE
LYCEE SONNY RUPAIRE;2017;STE ROSE;97;87;96;GUADELOUPE
LYCEE PAUL HAZARD;2017;ARMENTIERES;90;86;95;LILLE
LYCEE CHARLOTTE PERRIAND (GENERAL ET TECHNO.);2017;GENECH;83;82;95;LILLE
LYCEE SAINT JACQUES;2017;HAZEBROUCK;100;88;98;LILLE
LYCEE FAIDHERBE;2017;LILLE;83;82;83;LILLE
LYCEE SAINT MARTIN (GENERAL ET TECHNO.);2017;ROUBAIX;;;;LILLE
LYCEE LOUIS PASTEUR;2017;SOMAIN;92;79;82;LILLE
LYCEE ERNEST COUTEAUX (GENERAL ET TECHNO.);2017;ST AMAND LES EAUX;95;77;84;LILLE
LYCEE SACRE COEUR;2017;TOURCOING;100;98;95;LILLE
LYCEE EMILE ZOLA (GENERAL ET TECHNO.);2017;WATTRELOS;72;69;74;LILLE
LYCEE ANDRE MALRAUX;2017;BETHUNE;;70;80;LILLE
LYCEE GIRAUX SANNIER (GENERAL ET TECHNO.);2017;ST MARTIN BOULOGNE;;83;98;LILLE
EXTERNAT SAINT MICHEL;2017;ST ETIENNE;100;87;98;LYON
LYCEE NOTRE DAME;2017;VILLEFRANCHE SUR SAONE CED;;;;LYON
LYCEE LOUIS MAJORELLE;2017;TOUL;91;94;97;NANCY-METZ
LYCEE JEAN-AUGUSTE MARGUERITTE (GENERAL ET TECHNO.);2017;VERDUN;80;92;95;NANCY-METZ
LYCEE CARCOUET;2017;NANTES;100;93;96;NANTES
LYCEE ST JOSEPH LA JOLIVERIE (GENERAL ET TECHNO.);2017;ST SEBASTIEN SUR LOIRE CED;;;93;NANTES
LYCEE CHEVROLLIER (GENERAL ET TECHNO.);2017;ANGERS;98;96;91;NANTES
LYCEE JEAN BODIN;2017;LES PONTS DE CE;95;89;92;NANTES
LYCEE ROBESPIERRE;2016;ARRAS;97;91;93;LILLE
LYCEE SAINT DENIS (GENERAL ET TECHNO.);2016;ST OMER;;;;LILLE
LYCEE SAINT ESPRIT;2016;BEAUVAIS;100;99;100;AMIENS
LYCEE MIREILLE GRENET;2016;COMPIEGNE;95;88;75;AMIENS
LYCEE ROBERT DE LUZARCHES;2016;AMIENS;90;88;92;AMIENS
LYCEE NOTRE DAME DE LA PROVIDENCE;2016;AVRANCHES;100;83;94;CAEN
LYCEE MAURICE MARLAND (GENERAL ET TECHNO.);2016;GRANVILLE;;;;CAEN
LYCEE ROBERT DE MORTAIN (GENERAL ET TECHNO.);2016;MORTAIN BOCAGE;94;87;79;CAEN
LYCEE DES ANDAINES (GENERAL ET TECHNO.);2016;LA FERTE MACE;100;;86;CAEN
LYCEE JAVOUHEY;2016;BREST;94;91;93;RENNES
LYCEE LA PEROUSE-KERICHEN;2016;BREST;100;;94;RENNES
LYCEE YVON BOURGES (GENERAL ET TECHNO.);2016;DINARD;;;;RENNES
LYCEE BROCELIANDE (GENERAL ET TECHNO.);2016;GUER;96;89;95;RENNES
LYCEE GRAND AIR;2016;LA BAULE;97;85;91;NANTES
LYCEE TALENSAC - JEANNE BERNARD (GENERAL ET TECHNO.);2016;NANTES;;;;NANTES
LYCEE JOACHIM DU BELLAY;2016;ANGERS;90;96;86;NANTES
LYCEE ST LOUIS;2016;SAUMUR;100;98;100;NANTES
LYCEE LE MANS SUD (GENERAL ET TECHNO.);2016;LE MANS;90;94;99;NANTES
LYCEE PERSEIGNE (GENERAL ET TECHNO.);2016;MAMERS;100;95;100;NANTES
LYCEE ROSA PARKS (GENERAL ET TECHNO.);2016;LA ROCHE SUR YON;;80;97;NANTES
LYCEE FERNAND DAGUIN;2016;MERIGNAC;85;88;93;BORDEAUX
LYCEE GASTON CRAMPE (GENERAL ET TECHNO.);2016;AIRE SUR L ADOUR;89;90;89;BORDEAUX
LYCEE DU PAYS DE SOULE;2016;CHERAUTE;100;93;100;BORDEAUX
LYCEE GUEZ DE BALZAC;2016;ANGOULEME;96;97;93;POITIERS
LYCEE JEAN HYPPOLITE (GENERAL ET TECHNO.);2016;JONZAC;97;86;97;POITIERS
LYCEE MARCELIN BERTHELOT;2016;CHATELLERAULT;84;92;92;POITIERS
LYCEE DOCTEUR LACROIX;2016;NARBONNE;85;97;92;MONTPELLIER
LYCEE JEAN-BAPTISTE DUMAS (GENERAL ET TECHNO.);2016;ALES;93;82;82;MONTPELLIER
LYCEE ALBERT CAMUS;2016;NIMES;87;92;92;MONTPELLIER
LYCEE JACQUES PREVERT (GENERAL ET TECHNO.);2016;ST CHRISTOL LES ALES;100;100;95;MONTPELLIER
LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.);2016;CANET EN ROUSSILLON;100;98;92;MONTPELLIER
LYCEE MARIE LOUISE DISSARD FRANCOISE (GENERAL ET TECHNO.);2016;TOURNEFEUILLE;;;;TOULOUSE
LYCEE SAINT PIERRE;2016;CUSSET;100;91;93;CLERMONT-FERRAND
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2016;AMBERT;100;93;96;CLERMONT-FERRAND
LYCEE SEVIGNE SAINT LOUIS;2016;ISSOIRE;92;100;100;CLERMONT-FERRAND
LYCEE SAINTE MARIE;2016;RIOM;93;100;100;CLERMONT-FERRAND
LYCEE ROLLINAT;2016;ARGENTON SUR CREUSE;100;85;94;ORLEANS-TOURS
LYCEE INST JEANNE D ARC;2016;ARGENTAT;86;;88;LIMOGES
LYCEE SAINT JOSEPH - LA SALLE (GENERAL ET TECHNO.);2018;AUXERRE;88;95;95;DIJON
LYCEE NOTRE DAME;2018;VALENCE;96;96;98;GRENOBLE
LYCEE PIERRE BEGHIN;2018;MOIRANS;100;93;97;GRENOBLE
LYCEE CHEVALIER DE SAINT-GEORGES (GENERAL ET TECHNO.);2018;LES ABYMES;64;47;60;GUADELOUPE
LYCEE FAUSTIN FLERET;2018;MORNE A L EAU;90;87;93;GUADELOUPE
LYCEE GASTON MONNERVILLE;2018;CAYENNE;90;96;91;GUYANE
LYCEE AMIRAL PIERRE BOUVET;2018;ST BENOIT;92;100;85;LA REUNION
LYCEE CATHOLIQUE LEVAVASSEUR;2018;ST DENIS;96;99;100;LA REUNION
LYCEE PAUL HAZARD;2018;ARMENTIERES;90;87;89;LILLE
LYCEE EDMOND LABBE;2018;DOUAI;;;65;LILLE
LYCEE DE L'EUROPE;2018;DUNKERQUE;82;79;89;LILLE
LYCEE LOUIS PASTEUR;2018;SOMAIN;89;84;92;LILLE
LYCEE CARNOT (GENERAL ET TECHNO.);2018;BRUAY LA BUISSIERE;82;86;99;LILLE
LYCEE DES HORIZONS;2018;CHAZELLES SUR LYON;97;98;95;LYON
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2018;RIVE DE GIER;82;73;95;LYON
LYCEE SAINT PAUL;2018;ST ETIENNE;100;97;100;LYON
LYCEE AIGUERANDE (GENERAL ET TECHNO.);2018;BELLEVILLE;88;94;93;LYON
INSTITUTION DES CHARTREUX;2018;LYON 01;100;100;100;LYON
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2018;LYON 05;;86;92;LYON
LYCEE NOTRE DAME DES MINIMES;2018;LYON 05;100;100;100;LYON
LYCEE SAINT THOMAS D'AQUIN VERITAS;2018;OULLINS;100;100;100;LYON
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.);2018;BEAUVAIS;;;95;AMIENS
LYCEE SEVIGNE;2018;COMPIEGNE;;93;;AMIENS
LYCEE ELIE FAURE;2018;LORMONT;88;81;85;BORDEAUX
LYCEE GEORGE SAND;2018;NERAC;93;100;90;BORDEAUX
LYCEE DU PAYS DE SOULE;2018;CHERAUTE;100;97;100;BORDEAUX
LYCEE LE BEAU RAMEAU;2018;IGON;;89;82;BORDEAUX
LYCEE SAINT JOSEPH;2018;USTARITZ;100;94;96;BORDEAUX
INSTITUT LEMONNIER;2018;CAEN;;;71;CAEN
LYCEE CHARLES DE GAULLE;2018;CAEN;98;90;92;CAEN
LYCEE CLAUDE LEHEC (GENERAL ET TECHNO.);2018;ST HILAIRE DU HARCOUET;;;;CAEN
LYCEE AMBROISE BRUGIERE;2018;CLERMONT FERRAND;92;81;81;CLERMONT-FERRAND
LYCEE SAINT ALYRE;2018;CLERMONT FERRAND;95;100;100;CLERMONT-FERRAND
PENSIONNAT JEANNE D ARC;2018;BASTIA;88;86;98;CORSE
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2018;MELUN;60;59;84;CRETEIL
LYCEE EMILIE DU CHATELET (GENERAL ET TECHNO.);2018;SERRIS;93;92;90;CRETEIL
LYCEE PAUL LE ROLLAND (GENERAL ET TECHNO.);2018;DRANCY;;;38;CRETEIL
LYCEE MERKAZ HATORAH FILLES;2018;LE RAINCY;;100;100;CRETEIL
LYCEE MARCELIN BERTHELOT;2018;PANTIN;82;74;78;CRETEIL
LYCEE PAUL ELUARD;2018;ST DENIS;77;89;85;CRETEIL
LYCEE AUGUSTIN ARRON;2016;BAIE MAHAULT;;;;GUADELOUPE
LYCEE LA PERSEVERANCE MIXTE;2016;POINTE A PITRE;88;100;100;GUADELOUPE
LYCEE YOUNOUSSA BAMANA;2016;MAMOUDZOU;74;68;72;MAYOTTE
LYCEE ST ELOI;2017;AIX EN PROVENCE;;;95;AIX-MARSEILLE
LYCEE ST JOSEPH LES MARISTES;2017;MARSEILLE 06;95;100;92;AIX-MARSEILLE
LYCEE ST VINCENT DE PAUL;2017;MARSEILLE 06;;;;AIX-MARSEILLE
LYCEE VIALA LACOSTE;2017;SALON DE PROVENCE;100;100;100;AIX-MARSEILLE
LYCEE SAINT CHARLES;2017;CHAUNY;;100;95;AMIENS
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2017;SOISSONS;;69;80;AMIENS
LYCEE EUROPEEN;2017;VILLERS COTTERETS;97;98;96;AMIENS
LYCEE VICTOR HUGO;2017;BESANCON;100;92;92;BESANCON
LYCEE JEAN MICHEL;2017;LONS LE SAUNIER;91;92;93;BESANCON
LYCEE VICTOR CONSIDERANT;2017;SALINS LES BAINS;100;79;90;BESANCON
LYCEE DE LA MER (GENERAL ET TECHNO.);2017;GUJAN MESTRAS;;81;92;BORDEAUX
LYCEE THOMAS HELYE;2017;CHERBOURG EN COTENTIN;95;98;95;CAEN
LYCEE THEODORE DE BANVILLE;2017;MOULINS;98;90;91;CLERMONT-FERRAND
LYCEE ST-JACQUES DE COMPOSTELLE;2017;LE PUY EN VELAY;100;91;98;CLERMONT-FERRAND
LYCEE CLAUDE LEBOIS;2016;ST CHAMOND;100;77;94;LYON
LYCEE JEAN-PAUL SARTRE;2016;BRON;90;93;95;LYON
LYCEE LA FAVORITE SAINTE THERESE;2016;LYON 05;100;97;99;LYON
LYCEE EDOUARD HERRIOT;2016;LYON 06;92;99;97;LYON
LYCEE LA MARTINIERE MONPLAISIR;2016;LYON 08;;;92;LYON
LYCEE GERMAINE TILLION;2016;SAIN BEL;87;94;98;LYON
LYCEE SAINT JOSEPH;2016;TASSIN LA DEMI LUNE;100;100;100;LYON
LYCEE CLAUDE NICOLAS LEDOUX (GENERAL ET TECHNO.);2016;BESANCON;96;94;96;BESANCON
LYCEE VICTOR CONSIDERANT;2016;SALINS LES BAINS;100;96;86;BESANCON
LYCEE MONTCHAPET;2016;DIJON;89;95;90;DIJON
LYCEE ANNA JUDIC (GENERAL ET TECHNO.);2016;SEMUR EN AUXOIS;85;92;89;DIJON
LYCEE CHEVALIER D'EON (GENERAL ET TECHNO.);2016;TONNERRE;83;86;83;DIJON
LYCEE LA SALLE;2016;TROYES;;;;REIMS
LYCEE PHILIPPE LEBON;2016;JOINVILLE;;89;92;REIMS
LYCEE ESTIC;2016;ST DIZIER;100;100;98;REIMS
LYCEE NOTRE DAME SAINT SIGISBERT;2016;NANCY;100;100;95;NANCY-METZ
LYCEE SAINTE JEANNE D'ARC;2016;COMMERCY;;100;100;NANCY-METZ
LYCEE ALEXANDRE DUMAS (HOTELIER) (GENERAL ET TECHNO.);2016;ILLKIRCH;;;;STRASBOURG
LYCEE JEAN-BAPTISTE SCHWILGUE (GENERAL ET TECHNO.);2016;SELESTAT;;;88;STRASBOURG
LYCEE D'EXCELLENCE EDGAR MORIN;2016;DOUAI;100;90;79;LILLE
LYCEE DU NOORDOVER;2016;GRANDE SYNTHE;95;84;88;LILLE
LYCEE DUPLEIX;2016;LANDRECIES;88;96;90;LILLE
LYCEE ST JEAN-BAPTISTE DE LA SALLE (GENERAL ET TECHNO.);2016;LILLE;;;;LILLE
LYCEE RAOUL DAUTRY;2016;LIMOGES;;;90;LIMOGES
LYCEE MORVAN;2016;PARIS 09;100;100;50;PARIS
LYCEE YABNE;2016;PARIS 13;;100;100;PARIS
LYCEE BLOMET;2016;PARIS 15;100;100;100;PARIS
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2016;PARIS 15;;79;64;PARIS
LYCEE CLAUDE BERNARD;2016;PARIS 16;81;60;92;PARIS
LYCEE JULES RICHARD MICROTECHNIQUES (GENERAL ET TECHNO.);2016;PARIS 19;;;;PARIS
LYCEE MARTIN NADAUD (GENERAL ET TECHNO.);2016;PARIS 20;;;;PARIS
LYCEE ST LAURENT-LA PAIX NOTRE DAME;2016;LAGNY SUR MARNE;95;100;100;CRETEIL
LYCEE HENRI MOISSAN;2016;MEAUX;97;88;93;CRETEIL
LYCEE FLORA TRISTAN (GENERAL ET TECHNO.);2016;MONTEREAU FAULT YONNE;;;;CRETEIL
LYCEE JEAN ZAY;2016;AULNAY SOUS BOIS;87;90;83;CRETEIL
LYCEE GUILLAUME APOLLINAIRE;2016;THIAIS;98;94;88;CRETEIL
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2016;VILLENEUVE LE ROI;83;97;79;CRETEIL
LYCEE INTERNATIONAL;2016;ST GERMAIN EN LAYE;100;100;100;VERSAILLES
LYCEE NEWTON-ENREA (GENERAL ET TECHNO.);2016;CLICHY;80;84;83;VERSAILLES
LYCEE RENE AUFFRAY (GENERAL ET TECHNO.);2016;CLICHY;;;;VERSAILLES
LYCEE NOTRE-DAME;2016;MEUDON;100;100;99;VERSAILLES
LYCEE VAUBAN (GENERAL ET TECHNO.);2016;PONTOISE;;100;96;VERSAILLES
LYCEE CLAUDE NOUGARO (GENERAL ET TECHNO.);2018;MONTEILS;81;84;93;TOULOUSE
LYCEE JULES VERNE;2018;LIMOURS;93;96;96;VERSAILLES
LYCEE JACQUES PREVERT;2018;LONGJUMEAU;100;92;86;VERSAILLES
LYCEE LA SALLE ST NICOLAS (GENERAL ET TECHNO.);2018;ISSY LES MOULINEAUX;;100;76;VERSAILLES
LYCEE LOUIS PASTEUR;2018;NEUILLY SUR SEINE;100;100;99;VERSAILLES
LYCEE NOTRE DAME DE LA COMPASSION (GENERAL ET TECHNO.);2018;PONTOISE;100;100;98;VERSAILLES
LYCEE FRANCO ALLEMAND;2018;BUC;100;100;100;VERSAILLES
LYCEE D'ARTAGNAN (GENERAL ET TECHNO.);2012;NOGARO;89;89;89;TOULOUSE
LYCEE LE FERRADOU;2012;BLAGNAC;100;100;98;TOULOUSE
LYCEE MICHELET;2012;LANNEMEZAN CEDEX;95;95;90;TOULOUSE
LYCEE NOTRE-DAME DE GARAISON (GENERAL ET TECHNO.);2012;MONLEON MAGNOAC;100;100;88;TOULOUSE
LYCEE JACQUES PREVERT;2012;LONGJUMEAU CEDEX;96;90;87;VERSAILLES
LYCEE ILE DE FRANCE;2012;VILLEBON SUR YVETTE;100;100;88;VERSAILLES
LYCEE MONTALEMBERT;2012;COURBEVOIE;94;100;100;VERSAILLES
LYCEE JEAN-PIERRE VERNANT;2012;SEVRES;94;92;92;VERSAILLES
LYCEE GUSTAVE MONOD;2012;ENGHIEN LES BAINS;74;84;92;VERSAILLES
LYCEE CHARLES BAUDELAIRE (GENERAL ET TECHNO.);2012;FOSSES;100;68;70;VERSAILLES
LYCEE DE LA TOURELLE (GENERAL ET TECHNO.);2012;SARCELLES;;61;72;VERSAILLES
LYCEE DESCARTES;2012;MONTIGNY LE BRETONNEUX;91;95;97;VERSAILLES
LYCEE CHARLES PEGUY;2013;MARSEILLE 06;;;;AIX-MARSEILLE
LYCEE CHIMIE ET BIOLOGIE LA FORBINE;2013;MARSEILLE 11;;;;AIX-MARSEILLE
LYCEE JEAN HENRI FABRE (GENERAL ET TECHNO.);2013;CARPENTRAS;96;89;96;AIX-MARSEILLE
LYCEE GAY LUSSAC;2013;CHAUNY;94;89;88;AMIENS
LYCEE EUROPEEN;2013;VILLERS COTTERETS;100;83;92;AMIENS
LYCEE CONDORCET;2013;MERU;93;98;84;AMIENS
LYCEE JEAN CALVIN;2013;NOYON;94;93;89;AMIENS
LYCEE CLAUDE NICOLAS LEDOUX (GENERAL ET TECHNO.);2013;BESANCON;100;94;94;BESANCON
LYCEE VICTOR HUGO;2013;BESANCON;100;94;97;BESANCON
LYCEE EDOUARD BELIN (GENERAL ET TECHNO.);2013;VESOUL;83;88;93;BESANCON
LYCEE VICTOR CONSIDERANT;2013;SALINS LES BAINS;100;97;93;BESANCON
LYCEE STE MARIE BASTIDE;2013;BORDEAUX;95;97;100;BORDEAUX
LYCEE SUD MEDOC LA BOETIE;2013;LE TAILLAN MEDOC;100;96;97;BORDEAUX
LYCEE STE CATHERINE;2013;VILLENEUVE SUR LOT;100;100;91;BORDEAUX
LYCEE RENE CASSIN;2013;BAYONNE;94;97;98;BORDEAUX
LYCEE PAUL REY;2013;NAY;100;98;98;BORDEAUX
LYCEE EMILE LITTRE (GENERAL ET TECHNO.);2013;AVRANCHES;92;91;93;CAEN
LYCEE DES ANDAINES;2013;LA FERTE MACE;100;;91;CAEN
LYCEE BIGNON;2013;MORTAGNE AU PERCHE;94;81;81;CAEN
LYCEE AMBROISE BRUGIERE;2013;CLERMONT FERRAND;91;85;83;CLERMONT-FERRAND
LYCEE SAINT ALYRE;2013;CLERMONT FERRAND;100;99;98;CLERMONT-FERRAND
LYCEE SAINT PIERRE;2013;COURPIERE;100;100;100;CLERMONT-FERRAND
LYCEE C. ET P. VIRLOGEUX;2013;RIOM;84;90;95;CLERMONT-FERRAND
LYCEE DE LA MARE CARREE (GENERAL ET TECHNO.);2013;MOISSY CRAMAYEL;100;91;89;CRETEIL
LYCEE GERARD DE NERVAL (GENERAL ET TECHNO.);2013;NOISIEL;77;94;87;CRETEIL
LYCEE GUSTAVE EIFFEL;2013;GAGNY;82;84;78;CRETEIL
LYCEE NICOLAS-JOSEPH CUGNOT (GENERAL ET TECHNO.);2013;NEUILLY SUR MARNE;;100;100;CRETEIL
LYCEE SAINT LOUIS;2012;ST ETIENNE CEDEX;96;81;92;LYON
LYCEE COLBERT;2012;LYON CEDEX 0 08;94;63;74;LYON
LYCEE NOTRE DAME DE MONGRE;2012;VILLEFRANCHE S SAONE CED;100;97;97;LYON
LYCEE JULES GUESDE (GENERAL ET TECHNO.);2012;MONTPELLIER CEDEX;82;72;77;MONTPELLIER
LYCEE IRENE ET FREDERIC JOLIOT CURIE;2012;SETE;;85;92;MONTPELLIER
EXTERNAT DES ENFANTS NANTAIS;2012;NANTES CEDEX;91;100;100;NANTES
LYCEE VIAL;2012;NANTES CEDEX;;82;;NANTES
LYCEE JEAN PERRIN;2012;REZE;98;94;97;NANTES
LYCEE CHEVROLLIER;2012;ANGERS CEDEX 0;100;88;91;NANTES
LYCEE STE MARIE (GENERAL ET TECHNO.);2012;CHANTONNAY CEDEX;100;100;97;NANTES
LYCEE JACQUES AUDIBERTI;2012;ANTIBES CEDEX;72;85;85;NICE
LYCEE LA PROVIDENCE;2012;NICE;;;;NICE
LYCEE DU GOLFE DE SAINT TROPEZ (GENERAL ET TECHNO.);2012;GASSIN;79;94;92;NICE
LYCEE MARGUERITE DE NAVARRE;2012;BOURGES CEDEX;98;97;96;ORLEANS-TOURS
LYCEE BALZAC;2012;TOURS CEDEX;81;87;94;ORLEANS-TOURS
LYCEE GRAND ST GREGOIRE;2012;TOURS CEDEX;100;100;96;ORLEANS-TOURS
LYCEE JEAN ZAY (GENERAL ET TECHNO.);2012;ORLEANS CEDEX;91;93;90;ORLEANS-TOURS
LYCEE HENRI IV;2012;PARIS 05;100;100;100;PARIS
LYCEE PAUL CLAUDEL;2012;PARIS 07;100;100;100;PARIS
LYCEE PAUL VALERY;2012;PARIS 12;78;67;84;PARIS
LYCEE LE REBOURS;2012;PARIS 13;;100;;PARIS
LYCEE DE LA MER ET DU LITTORAL;2012;BOURCEFRANC LE CHAPUS;;95;89;POITIERS
LYCEE L'OISELET;2013;BOURGOIN JALLIEU;94;98;95;GRENOBLE
LYCEE DE LA MATHEYSINE (GENERAL ET TECHNO.);2013;LA MURE D ISERE;100;100;98;GRENOBLE
LYCEE LA SAULAIE (GENERAL ET TECHNO.);2013;ST MARCELLIN;100;92;93;GRENOBLE
EXTERNAT SAINT JOSEPH;2013;CAYENNE;100;96;92;GUYANE
LYCEE DE ST PAUL 4 (GENERAL ET TECHNO.);2013;BOIS DE NEFLES ST PAUL;69;81;75;LA REUNION
LYCEE LISLET GEOFFROY;2013;STE CLOTILDE;89;82;94;LA REUNION
LYCEE PAUL HAZARD;2013;ARMENTIERES;93;92;95;LILLE
LYCEE SAINT JEAN;2013;DOUAI;100;100;97;LILLE
LYCEE VAUBAN;2013;DUNKERQUE;;;;LILLE
LYCEE CAMILLE CLAUDEL (GENERAL ET TECHNO.);2013;FOURMIES;92;;95;LILLE
LYCEE SAINT JACQUES;2013;HAZEBROUCK;100;97;98;LILLE
LYCEE DUPLEIX;2013;LANDRECIES;95;100;85;LILLE
